# Eirin sky catalog — RA (decimal degrees), Dec (decimal degrees), Name, Mag, Type (star|dso)
# Bright Stars
88.793	7.407	Betelgeuse	0.50	star
78.634	-8.202	Rigel	0.12	star
101.287	-16.716	Sirius	-1.46	star
95.988	-52.696	Canopus	-0.72	star
219.899	-60.834	Alpha Centauri	-0.27	star
213.915	19.182	Arcturus	-0.05	star
279.235	38.784	Vega	0.03	star
114.826	5.225	Procyon	0.34	star
297.695	8.868	Altair	0.76	star
79.172	45.998	Capella	0.08	star
310.358	45.280	Deneb	1.25	star
247.352	-26.432	Antares	1.09	star
191.930	-59.689	Acrux	0.77	star
210.956	-60.374	Hadar	0.61	star
186.650	-63.099	Mimosa	1.25	star
68.980	16.509	Aldebaran	0.86	star
152.093	11.967	Regulus	1.35	star
116.329	28.026	Pollux	1.14	star
24.428	-57.237	Achernar	0.46	star
344.413	-29.622	Fomalhaut	1.16	star
113.650	31.888	Castor	1.58	star
84.411	-1.202	Bellatrix	1.64	star
81.570	28.608	Elnath	1.65	star
85.190	-1.943	Alnilam	1.70	star
83.858	-5.909	Alnitak	1.74	star
83.002	-0.299	Mintaka	2.23	star
120.896	-40.003	Naos	2.25	star
206.885	49.313	Mizar	2.27	star
200.981	54.925	Alioth	1.77	star
165.932	61.751	Dubhe	1.79	star
178.458	53.695	Merak	2.37	star
263.054	-37.103	Shaula	1.63	star
272.145	-34.384	Kaus Australis	1.85	star
258.044	-43.239	Sargas	1.87	star
337.821	-46.961	Alnair	1.74	star
252.166	-69.028	Atria	1.91	star
164.012	-49.421	Avior	1.86	star
138.300	-69.717	Miaplacidus	1.68	star
155.582	19.842	Alphard	1.99	star
177.265	14.572	Denebola	2.14	star
183.856	-17.541	Gienah	2.59	star
232.173	-40.648	Menkent	2.06	star
258.662	14.390	Rasalhague	2.08	star
286.352	-21.106	Nunki	2.05	star
269.152	51.489	Eltanin	2.24	star
351.303	-46.018	Peacock	1.94	star
17.433	35.621	Mirfak	1.79	star
10.897	56.537	Schedar	2.24	star
14.177	60.717	Gamma Cas	2.47	star
9.243	59.150	Caph	2.27	star
2.095	29.090	Alpheratz	2.06	star
350.162	29.091	Mirach	2.05	star
56.871	24.105	Alcyone	2.87	star
85.819	-2.600	Saiph	2.07	star
238.786	-42.998	Dschubba	2.29	star
243.586	-3.694	Han	2.74	star
62.166	-19.671	Cursa	2.79	star
222.676	-16.042	Zubenelgenubi	2.61	star
311.553	-40.616	Al Na'ir	2.17	star
322.164	-16.662	Sadalsuud	2.91	star
346.190	-15.821	Sadalmelik	2.95	star
252.166	-69.028	Atria	1.91	star
193.507	55.960	Phecda	2.44	star
193.507	57.032	Megrez	3.31	star
319.644	62.585	Ruchbah	2.68	star
183.857	57.033	Megrez	3.31	star
# Deep Sky Objects — Messier Catalog
83.633	22.014	M1 Crab Nebula	8.4	dso
323.363	-0.823	M2	6.5	dso
205.549	28.383	M3	6.2	dso
245.897	-26.526	M4	5.9	dso
229.638	2.082	M5	5.8	dso
265.083	-32.215	M6 Butterfly Cluster	4.2	dso
268.464	-34.793	M7 Ptolemy Cluster	3.3	dso
270.904	-24.387	M8 Lagoon Nebula	5.8	dso
259.800	-18.517	M9	7.9	dso
254.284	-4.100	M10	6.6	dso
282.773	-6.272	M11 Wild Duck Cluster	5.8	dso
251.812	-1.948	M12	6.6	dso
250.423	36.460	M13 Hercules Cluster	5.8	dso
